age,gender,pattern
18,Mężczyzna,"[0, 3, 6, 7, 8]"
32,Kobieta,"[4, 5, 8, 7, 6, 3, 0, 1, 2]"
19,Kobieta,"[6, 3, 0, 1, 4, 7, 8, 5, 2]"
21,Mężczyzna,"[6, 3, 0, 4, 8, 5, 2]"
24,Mężczyzna,"[6, 4, 2, 5, 8, 0]"
33,Mężczyzna,"[0, 3, 4, 5, 8]"
25,Mężczyzna,"[2, 5, 8, 4, 0, 3, 6]"
48,Kobieta,"[0, 1, 4, 7]"
19,Kobieta,"[0, 3, 6, 7, 8]"
29,Mężczyzna,"[3, 4, 5, 8]"
35,Kobieta,"[0, 3, 6, 4, 8, 5, 2]"
20,Kobieta,"[0, 3, 4, 5, 8]"
24,Kobieta,"[2, 1, 0, 3, 6]"
18,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
48,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
24,Mężczyzna,"[6, 3, 0, 4, 2, 5, 8]"
22,Mężczyzna,"[0, 1, 4, 7, 8]"
21,Mężczyzna,"[2, 1, 0, 3, 6, 7, 8]"
28,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
26,Mężczyzna,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
23,Kobieta,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
35,Mężczyzna,"[3, 4, 5, 8]"
23,Mężczyzna,"[6, 7, 8, 4, 3, 0, 1, 2, 5]"
50,Kobieta,"[0, 3, 6, 7, 8]"
32,Kobieta,"[0, 3, 6, 7, 8]"
21,Kobieta,"[0, 3, 6, 7, 8]"
22,Kobieta,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
22,Mężczyzna,"[0, 3, 4, 5, 8]"
50,Mężczyzna,"[3, 4, 5, 8]"
23,Mężczyzna,"[2, 1, 3, 7, 8]"
20,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
25,Kobieta,"[0, 1, 4, 7, 8]"
42,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
22,Kobieta,"[0, 3, 6, 7, 4, 1, 2, 5, 8]"
35,Mężczyzna,"[2, 1, 0, 3, 6, 7, 8]"
22,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
22,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8]"
18,Kobieta,"[0, 3, 6, 7, 8]"
20,Kobieta,"[0, 3, 6, 4, 8, 5, 2]"
31,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
25,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
21,Kobieta,"[0, 4, 8, 5, 2]"
21,Kobieta,"[0, 3, 4, 5, 2]"
21,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8]"
18,Mężczyzna,"[2, 4, 6, 3, 0, 8, 5, 1, 7]"
18,Mężczyzna,"[0, 1, 4, 7, 8]"
20,Mężczyzna,"[0, 3, 6, 7, 8, 4, 1, 2, 5]"
23,Kobieta,"[2, 5, 4, 3, 6, 7]"
49,Kobieta,"[3, 4, 5, 8]"
20,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
24,Mężczyzna,"[0, 3, 4, 5, 8]"
19,Mężczyzna,"[6, 3, 0, 2, 5, 8]"
23,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8]"
21,Kobieta,"[0, 1, 2, 5, 8, 6, 3, 4]"
19,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
44,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
20,Kobieta,"[3, 4, 5, 8]"
20,Mężczyzna,"[6, 3, 0, 4, 2, 5, 8]"
33,Mężczyzna,"[2, 5, 8, 7, 4, 1, 0, 3, 6]"
36,Mężczyzna,"[2, 1, 0, 3, 6, 7, 8]"
51,Kobieta,"[4, 5, 2, 1, 0, 3, 6, 7, 8]"
25,Kobieta,"[0, 3, 4, 5, 8]"
56,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
20,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2]"
20,Mężczyzna,"[6, 4, 2, 1, 0, 3, 5, 8, 7]"
45,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
59,Mężczyzna,"[0, 1, 2, 5, 8]"
20,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8]"
21,Kobieta,"[8, 5, 2, 1, 0, 3, 6, 7, 4]"
23,Kobieta,"[0, 1, 4, 7, 8]"
23,Kobieta,"[1, 2, 5, 8, 7, 6, 3, 0, 4]"
20,Mężczyzna,"[1, 4, 7, 8]"
21,Mężczyzna,"[0, 4, 8, 7, 6, 3, 5, 2, 1]"
22,Kobieta,"[0, 3, 6, 7, 4, 1, 2, 5, 8]"
23,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8]"
22,Mężczyzna,"[3, 1, 4, 7]"
21,Mężczyzna,"[0, 3, 6, 7, 8]"
24,Mężczyzna,"[2, 5, 8, 7, 6]"
35,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
23,Mężczyzna,"[0, 1, 4, 7, 8]"
47,Kobieta,"[0, 3, 4, 5, 8]"
19,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
26,Kobieta,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
50,Kobieta,"[0, 3, 6, 7, 8]"
18,Kobieta,"[1, 4, 7, 8]"
21,Mężczyzna,"[3, 0, 1, 2, 4, 6, 7, 8, 5]"
40,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8]"
28,Mężczyzna,"[0, 1, 2, 4, 7, 8, 5, 6, 3]"
28,Kobieta,"[0, 1, 2, 4, 6, 8]"
18,Kobieta,"[0, 3, 6, 4, 8, 5, 2]"
26,Mężczyzna,"[0, 3, 6, 7, 8]"
25,Kobieta,"[2, 1, 4, 7, 6, 3, 5, 8]"
18,Mężczyzna,"[2, 1, 0, 3, 6, 7, 8, 5, 4]"
23,Kobieta,"[6, 7, 8, 5, 4, 1]"
21,Kobieta,"[6, 3, 4, 5]"
42,Kobieta,"[2, 1, 0, 3, 4, 5, 8, 6]"
21,Kobieta,"[6, 7, 5, 1, 0, 3, 4, 2, 8]"
21,Mężczyzna,"[6, 3, 0, 4, 8, 5, 2]"
21,Kobieta,"[0, 4, 6, 3, 1, 2, 5, 8, 7]"
21,Kobieta,"[1, 4, 7, 8]"
21,Mężczyzna,"[0, 1, 4, 5, 8]"
47,Kobieta,"[0, 3, 6, 7, 8]"
24,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
56,Mężczyzna,"[0, 3, 6, 7, 8]"
22,Mężczyzna,"[3, 4, 5, 2, 1, 0, 6, 7, 8]"
36,Mężczyzna,"[0, 3, 6, 7, 8]"
22,Kobieta,"[2, 1, 0, 3, 5, 8, 7, 6]"
36,Kobieta,"[6, 3, 0, 2, 5, 8]"
34,Kobieta,"[6, 3, 0, 1, 4, 7, 8, 5, 2]"
22,Kobieta,"[6, 3, 4, 2]"
40,Kobieta,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
21,Kobieta,"[3, 4, 5, 8]"
24,Mężczyzna,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
25,Mężczyzna,"[3, 4, 5, 8]"
26,Mężczyzna,"[0, 3, 6, 4, 5, 8]"
22,Kobieta,"[0, 4, 8, 7, 6, 3]"
20,Mężczyzna,"[5, 8, 7, 6, 3]"
22,Kobieta,"[0, 1, 2, 5, 8]"
26,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
37,Mężczyzna,"[2, 5, 8, 7, 6]"
39,Mężczyzna,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
39,Kobieta,"[0, 3, 6, 7, 8]"
52,Mężczyzna,"[0, 4, 8, 5, 2]"
43,Kobieta,"[0, 3, 6, 7, 8]"
48,Kobieta,"[0, 1, 2, 5, 8]"
21,Kobieta,"[0, 3, 6, 4, 2, 5, 8]"
22,Kobieta,"[0, 3, 6, 7, 4, 1, 2, 5, 8]"
27,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
29,Mężczyzna,"[1, 4, 3, 6, 7, 8, 5, 0, 2]"
23,Mężczyzna,"[0, 3, 4, 1, 2, 5, 8, 7, 6]"
30,Kobieta,"[0, 3, 6, 4, 8, 5, 2]"
24,Kobieta,"[0, 3, 6, 7, 8]"
19,Kobieta,"[0, 1, 2, 6, 7, 8]"
24,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
24,Kobieta,"[4, 5, 2, 1, 0, 3, 6, 7, 8]"
46,Kobieta,"[0, 3, 6, 4, 8, 5, 2]"
18,Mężczyzna,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
24,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
22,Mężczyzna,"[0, 4, 6, 3, 1, 2, 5, 7, 8]"
21,Kobieta,"[4, 1, 0, 3, 6, 8, 5, 2]"
38,Mężczyzna,"[0, 1, 2, 5, 8]"
60,Mężczyzna,"[2, 1, 0, 3, 6, 7, 8]"
20,Kobieta,"[0, 7, 2, 1, 4, 5, 8]"
23,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
33,Mężczyzna,"[0, 3, 6, 7, 8]"
23,Mężczyzna,"[6, 3, 4, 1, 0]"
20,Mężczyzna,"[0, 3, 4, 5, 8, 7, 6, 1, 2]"
33,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
34,Mężczyzna,"[6, 3, 0, 1, 2, 5, 8]"
25,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
21,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
43,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
65,Kobieta,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
22,Kobieta,"[4, 5, 8, 7, 6, 3, 0, 1, 2]"
22,Kobieta,"[6, 3, 0, 1, 2]"
60,Mężczyzna,"[0, 3, 6, 7, 8]"
22,Mężczyzna,"[5, 2, 1, 0, 3, 4, 6, 7, 8]"
22,Kobieta,"[0, 3, 6, 7, 4, 1, 2, 5, 8]"
46,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
28,Kobieta,"[0, 3, 6, 7, 4, 1, 2, 5, 8]"
19,Kobieta,"[0, 3, 6, 7, 8]"
26,Kobieta,"[6, 4, 2, 5, 8]"
21,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
55,Mężczyzna,"[2, 1, 0, 3, 4, 5, 8, 6]"
47,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
32,Mężczyzna,"[3, 4, 5, 8]"
21,Mężczyzna,"[2, 1, 0, 3, 6, 7, 8, 5, 4]"
21,Kobieta,"[0, 1, 2, 4, 6, 7, 8, 5]"
52,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
19,Mężczyzna,"[6, 3, 0, 4, 2, 5, 8]"
21,Kobieta,"[4, 5, 8, 7, 6, 3, 0, 1, 2]"
33,Mężczyzna,"[6, 3, 0, 1, 4, 7, 8, 5, 2]"
21,Kobieta,"[0, 1, 4, 7]"
43,Mężczyzna,"[0, 3, 6, 7, 8]"
18,Mężczyzna,"[0, 3, 4, 5, 8]"
46,Kobieta,"[4, 7, 6, 3, 0, 1, 2, 5, 8]"
22,Kobieta,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
20,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
27,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
20,Kobieta,"[1, 4, 7, 8]"
38,Mężczyzna,"[0, 1, 2, 5, 8]"
23,Mężczyzna,"[0, 3, 6, 4, 2, 5, 8, 7, 1]"
23,Mężczyzna,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
18,Kobieta,"[0, 3, 6, 7, 8]"
37,Mężczyzna,"[3, 4, 5, 8]"
68,Kobieta,"[0, 3, 6, 7, 8]"
47,Mężczyzna,"[0, 3, 6, 7, 8]"
18,Mężczyzna,"[6, 4, 2, 5, 8]"
33,Mężczyzna,"[6, 3, 0, 1, 2, 5, 8]"
35,Mężczyzna,"[0, 3, 6, 7, 4, 1, 2, 5, 8]"
24,Kobieta,"[0, 3, 6, 4, 8, 5, 2]"
53,Kobieta,"[0, 1, 2, 5, 8]"
20,Kobieta,"[6, 4, 2, 1, 0]"
24,Mężczyzna,"[0, 1, 2, 5, 8, 6]"
21,Kobieta,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
67,Kobieta,"[0, 1, 2, 5, 8]"
19,Kobieta,"[0, 3, 4, 5, 8, 7, 1, 2]"
21,Mężczyzna,"[6, 3, 7, 5, 8]"
22,Mężczyzna,"[0, 3, 6, 4, 8, 5, 2]"
23,Mężczyzna,"[0, 3, 6, 4, 2, 5, 8, 7, 1]"
21,Mężczyzna,"[6, 3, 0, 4]"
21,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
20,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2]"
23,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
48,Kobieta,"[0, 3, 6, 7, 8]"
26,Mężczyzna,"[3, 4, 5, 8]"
19,Kobieta,"[0, 1, 2, 4, 6, 3]"
27,Kobieta,"[0, 1, 2, 5, 8]"
40,Mężczyzna,"[3, 4, 5, 8]"
21,Mężczyzna,"[6, 7, 8, 5, 4, 3, 0, 1]"
40,Mężczyzna,"[0, 3, 4, 5]"
41,Kobieta,"[0, 3, 6, 7]"
44,Kobieta,"[0, 3, 6, 7, 8]"
21,Kobieta,"[0, 1, 4, 7, 8]"
40,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
55,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
20,Mężczyzna,"[6, 3, 0, 4, 2, 5, 8]"
23,Kobieta,"[0, 7, 2, 5, 8]"
22,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
30,Kobieta,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
29,Mężczyzna,"[0, 3, 4, 5, 2]"
23,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8, 5, 3]"
21,Mężczyzna,"[6, 7, 8, 5, 2, 1, 0]"
20,Mężczyzna,"[4, 5, 8, 7, 6, 0, 1, 2]"
24,Mężczyzna,"[0, 3, 6, 7, 8]"
18,Kobieta,"[4, 2, 5, 7, 3, 0, 1]"
31,Kobieta,"[2, 1, 0, 3, 6, 7, 8]"
21,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
43,Kobieta,"[3, 4, 5, 8]"
23,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
18,Kobieta,"[0, 3, 6, 7, 8]"
35,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
21,Mężczyzna,"[3, 4, 5, 8]"
23,Mężczyzna,"[2, 5, 4, 3, 0]"
20,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
40,Kobieta,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
54,Mężczyzna,"[3, 4, 5, 8]"
22,Mężczyzna,"[0, 3, 6, 4, 8, 5, 2]"
56,Mężczyzna,"[0, 1, 2, 5, 8]"
24,Kobieta,"[2, 5, 8, 0, 3, 6]"
40,Kobieta,"[0, 1, 2, 5, 8]"
45,Kobieta,"[6, 3, 0, 1, 4, 7]"
24,Mężczyzna,"[6, 7, 8, 5, 4, 3, 1, 2]"
21,Kobieta,"[0, 1, 2, 5, 8]"
48,Kobieta,"[2, 1, 0, 3, 6, 7, 8]"
21,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
20,Mężczyzna,"[0, 1, 4, 7, 8]"
23,Mężczyzna,"[6, 1, 8, 7, 4, 5, 2, 0, 3]"
22,Kobieta,"[0, 3, 6, 7, 4, 1, 2, 5, 8]"
24,Kobieta,"[0, 1, 2, 5, 8]"
50,Mężczyzna,"[0, 1, 2, 5, 8]"
25,Mężczyzna,"[2, 5, 8, 7, 6]"
18,Mężczyzna,"[0, 3, 6, 7, 8]"
22,Kobieta,"[3, 4, 5, 8]"
30,Kobieta,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
35,Kobieta,"[0, 3, 6, 7, 8]"
54,Kobieta,"[0, 3, 4, 5, 8]"
22,Mężczyzna,"[3, 4, 5, 8]"
23,Kobieta,"[1, 2, 5, 8, 7, 6, 3, 0, 4]"
38,Mężczyzna,"[0, 1, 2, 5, 8]"
46,Kobieta,"[0, 1, 2, 4, 6, 7, 8, 5]"
55,Kobieta,"[3, 4, 5, 8]"
31,Mężczyzna,"[2, 1, 0, 3, 5, 8, 7, 6]"
21,Mężczyzna,"[0, 1, 4, 7, 8]"
47,Mężczyzna,"[0, 3, 6, 7, 8]"
45,Kobieta,"[0, 3, 6, 7, 8]"
20,Kobieta,"[2, 4, 6, 7, 8]"
44,Kobieta,"[3, 4, 5, 8]"
43,Kobieta,"[0, 3, 6, 7, 8]"
45,Kobieta,"[3, 4, 5, 8]"
22,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
21,Kobieta,"[0, 3, 6, 7, 8]"
19,Mężczyzna,"[0, 3, 6, 7, 8, 4, 2]"
21,Mężczyzna,"[0, 1, 4, 7, 8]"
22,Mężczyzna,"[0, 1, 2, 4, 3, 6, 7]"
22,Kobieta,"[4, 5, 8, 7, 6, 3, 0, 1, 2]"
33,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2]"
26,Mężczyzna,"[2, 1, 4, 7, 8]"
36,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2]"
23,Kobieta,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
31,Mężczyzna,"[0, 7, 2, 5, 8]"
24,Kobieta,"[0, 3, 6, 7, 4, 1, 2, 5, 8]"
20,Mężczyzna,"[6, 3, 0, 4, 2, 5, 8]"
18,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
46,Kobieta,"[3, 4, 5, 8]"
32,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2]"
21,Mężczyzna,"[0, 1, 2, 5, 8, 6]"
22,Kobieta,"[0, 1, 4, 7, 8]"
19,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
19,Kobieta,"[2, 1, 0, 3, 4, 5, 8, 6]"
28,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
25,Kobieta,"[0, 3, 6, 4, 8, 5, 2]"
32,Mężczyzna,"[2, 1, 0, 3, 6, 7, 8, 5, 4]"
20,Kobieta,"[2, 5, 8, 6]"
33,Mężczyzna,"[2, 1, 0, 3, 6, 7, 8]"
19,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
25,Kobieta,"[0, 3, 4, 1, 2, 5, 8, 6]"
23,Mężczyzna,"[0, 3, 4, 1, 2, 5, 8, 7, 6]"
25,Kobieta,"[0, 3, 4, 5, 8]"
28,Kobieta,"[0, 3, 6, 4, 8, 5, 2]"
21,Mężczyzna,"[6, 3, 7, 5, 8]"
18,Kobieta,"[6, 3, 4, 5, 2]"
18,Mężczyzna,"[4, 5, 2, 1, 0, 3, 6, 7, 8]"
63,Kobieta,"[0, 3, 6, 4, 8, 5, 2]"
